Molecule name,RowID,Original_SMILES,Error
Molecule_635,635,[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Na+].[Sb+5], Inorganic
Molecule_637,637,F[La](F)F, Inorganic
Molecule_638,638,[Mg+2].F[Si-2](F)(F)(F)(F)F, Inorganic
Molecule_653,653,[Na+].[Na+].[O-]P([O-])=O, Inorganic
Molecule_660,660,[OH-].[OH-].[OH-].[Al+3], Inorganic
Molecule_669,669,[K+].[K+].F[Ta-2](F)(F)(F)(F)(F)F, Inorganic
Molecule_681,681,[SbH3], Inorganic
Molecule_690,690,[B+3].[B+3].[B+3].[B+3].[B+3].[B+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-][Zn+].[O-][Zn+], Inorganic
Molecule_693,693,[Al+3].[O-]P([O-])([O-])=O, Inorganic
Molecule_700,700,[Na+].[Br-], Inorganic
Molecule_731,731,[Li+].F[P-](F)(F)(F)(F)F, Inorganic
Molecule_743,743,[Cu+2].[O-]S([O-])(=O)=O, Inorganic
Molecule_758,758,O=[Sb]O[Sb]=O, Inorganic
Molecule_762,762,F[Nd](F)F, Inorganic
Molecule_773,773,[Be], Inorganic
Molecule_777,777,O=[Mo]=O, Inorganic
Molecule_778,778,P, Inorganic
Molecule_794,794,[Ca+2].[Br-].[Br-], Inorganic
Molecule_800,800,[O-2].[Cu+2], Inorganic
Molecule_809,809,[Na+].[Na+].[O-]S([O-])(=O)=O, Inorganic
Molecule_816,816,[Co+2].[O-][W]([O-])(=O)=O, Inorganic
Molecule_819,819,[Co+2].NS([O-])(=O)=O.NS([O-])(=O)=O, Inorganic
Molecule_834,834,[S-2].[S-2].[S-2].[Bi+3].[Bi+3], Inorganic
Molecule_846,846,[F-].[F-].[F-].[Ce+3], Inorganic
Molecule_855,855,[O-2].[O-2].[Sn+4], Inorganic
Molecule_856,856,[Na+].[O-][V](=O)=O, Inorganic
Molecule_863,863,[Cl-].[Fe+3].[O-]S([O-])(=O)=O, Inorganic
Molecule_871,871,[O-2].[Ca+2], Inorganic
Molecule_892,892,O=[Sb](=O)O[Sb](=O)=O, Inorganic
Molecule_893,893,B, Inorganic
Molecule_947,947,[Fe+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O, Inorganic
Molecule_963,963,[O-2].[O-2].[Ti+2], Inorganic
Molecule_980,980,[La+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O, Inorganic
Molecule_988,988,[S-2].[Ba+2], Inorganic
Molecule_996,996,[Sn+2].F[B-](F)(F)F.F[B-](F)(F)F, Inorganic
Molecule_1022,1022,[Na+].[O-][PH2]=O, Inorganic
Molecule_1028,1028,N12[Si]34N5[Si]61N3[Si]52N64, Inorganic
Molecule_1029,1029,[Fe+2].[O-]S([O-])(=O)=O, Inorganic
Molecule_1031,1031,O[Cu]O, Inorganic
Molecule_1036,1036,[Ag], Inorganic
Molecule_1047,1047,[K+].[O-]Cl(=O)(=O)=O, Inorganic
Molecule_1050,1050,O=[V]=O, Inorganic
Molecule_1085,1085,[Na+].[O-]P(O)(O)=O, Inorganic
Molecule_1088,1088,[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.O=[Ca].O=[Ca].O=[Ca].O=[Ca].O=[Ca].O=[Ca], Inorganic
Molecule_1102,1102,[Cd]=[Te], Inorganic
Molecule_1117,1117,[O-2].[O-2].[O-2].[O-2].[Ca+2].[Mo+6], Inorganic
Molecule_1119,1119,N.N.[Cl-][Pd+2][Cl-], Inorganic
Molecule_1125,1125,I[Cs], Inorganic
Molecule_1135,1135,[F-].[Na+], Inorganic
Molecule_1139,1139,[Cs+].[O-][N+]([O-])=O, Inorganic
Molecule_1146,1146,[Li+].[Na+].[Mg+2].[O-][Si]([O-])([O-])[O-], Inorganic
Molecule_1147,1147,[Pb+2].[O-][Ti]([O-])=O, Inorganic
Molecule_1151,1151,[Fe+3].[Fe+3].[O-][Mo]([O-])(=O)=O.[O-][Mo]([O-])(=O)=O.[O-][Mo]([O-])(=O)=O, Inorganic
Molecule_1155,1155,[Al+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O, Inorganic
Molecule_1173,1173,[NH4+].[Br-], Inorganic
Molecule_1181,1181,F[Zn]F, Inorganic
Molecule_1195,1195,[Ba+2].[O-][Ti]([O-])=O, Inorganic
Molecule_1196,1196,[Fe+3].[Fe+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O, Inorganic
Molecule_1199,1199,[Cl-].[Cl-].[Pb+2], Inorganic
Molecule_1201,1201,[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Zn+2].[Zn+2].[Zn+2].[Zn+2].[Zn+2].[O-][Cr]([O-])(=O)=O, Inorganic
Molecule_1203,1203,[Ag+].[Ag+].[O-]S([O-])(=O)=O, Inorganic
Molecule_1216,1216,[Cl-].[Cl-].[Sr+2], Inorganic
Molecule_1221,1221,O=[V]O[V]=O, Inorganic
Molecule_1222,1222,[O-2].[O-2].[O-2].[O-2].[O-2].[Ti+4].[Zr+4].[Pb+2], Inorganic
Molecule_1235,1235,[F-].[K+], Inorganic
Molecule_1236,1236,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Ca+2], Inorganic
Molecule_1241,1241,[O-2].[O-2].[O-2].[O-2].[O-2].[Nb+5].[Nb+5], Inorganic
Molecule_1247,1247,[Cl-].[Cl-].[Cl-].[Ce+3], Inorganic
Molecule_1250,1250,[Na+].[Mg+2].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O, Inorganic
Molecule_1251,1251,[O-2].[O-2].[O-2].[Y+3].[Y+3], Inorganic
Molecule_1263,1263,[V], Inorganic
Molecule_1272,1272,[Si+4].[Si+4].[Si+4].[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O, Inorganic
Molecule_1275,1275,[NH4+].[F-], Inorganic
Molecule_1343,1343,[O-2].[O-2].[O-2].[O-2].[Al+3].[V+5], Inorganic
Molecule_1381,1381,[O-2].[O-2].[O-2].[Na+].[Na+].[Ti+4], Inorganic
Molecule_1384,1384,[Ba+2].[O-][Cr]([O-])(=O)=O, Inorganic
Molecule_1385,1385,[OH-].[OH-].[OH-].[Cu+2].[Cu+2].[O-][N+]([O-])=O, Inorganic
Molecule_1386,1386,[Mg+2].[O-]S([O-])(=O)=O, Inorganic
Molecule_1388,1388,[Pb+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O, Inorganic
Molecule_1389,1389,[NH4+].O=[V-](=O)=O, Inorganic
Molecule_1405,1405,O[Ca]O, Inorganic
Molecule_1411,1411,[F-].[F-].[Ba+2], Inorganic
Molecule_1418,1418,[Na+].O=[Al-]=O, Inorganic
Molecule_1422,1422,[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[K+].[Sb+3], Inorganic
Molecule_1426,1426,[Cl-].[Cl-].[Fe+2], Inorganic
Molecule_1432,1432,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Sr+2], Inorganic
Molecule_1446,1446,S=[Sb]S[Sb]=S, Inorganic
Molecule_1449,1449,[O-2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Bi+3].[Bi+3].[Bi+3].[Bi+3].[Bi+3].[O-]N(=O)=O.[O-]N(=O)=O.[O-]N(=O)=O.[O-]N(=O)=O, Inorganic
Molecule_1464,1464,[K+].[O-][Si](O)=O, Inorganic
Molecule_1469,1469,[F-].[F-].[F-].[Al+3], Inorganic
Molecule_1478,1478,[Na+].[Na+].[O-]S(=O)(=O)OOS([O-])(=O)=O, Inorganic
Molecule_1479,1479,[Na+].[O-]Cl=O, Inorganic
Molecule_1497,1497,[Na+].[Na+].[O-][Se]([O-])=O, Inorganic
Molecule_1505,1505,[Se] |^3:0|, Inorganic
Molecule_1510,1510,[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O, Inorganic
Molecule_1529,1529,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Ca+2].[I-].[I-], Inorganic
Molecule_1538,1538,[O-2].[O-2].[Zr+2], Inorganic
Molecule_1544,1544,[Cl-].[Cl-].[Cu+2], Inorganic
Molecule_1545,1545,[O-2].[OH-].[Al+3], Inorganic
Molecule_1553,1553,NO, Inorganic
Molecule_1557,1557,[Zn+2].[O-][Se]([O-])=O, Inorganic
Molecule_1566,1566,[Ba+2].[O-]B=O.[O-]B=O, Inorganic
Molecule_1567,1567,[O-2].[OH-].[OH-].[Mg+2].[Ca+2], Inorganic
Molecule_1579,1579,[Zr], Inorganic
Molecule_1580,1580,[O-2].[O-2].[O-2].[O-2].[Co+2].[Mo+6], Inorganic
Molecule_1592,1592,[Mg], Inorganic
Molecule_1598,1598,[Mn+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O, Inorganic
Molecule_1612,1612,[Mg+2].[O-]S(=O)(=O)[S-], Inorganic
Molecule_1625,1625,O[Bi](O)O, Inorganic
Molecule_1657,1657,[Al+3].[K+].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O, Inorganic
Molecule_1674,1674,[Hg], Inorganic
Molecule_1680,1680,[Na+].[Na+].[Na+].[Na+].[O-]P([O-])(=O)OP([O-])([O-])=O, Inorganic
Molecule_1693,1693,[Cs+].[Cs+].[O-]S([O-])(=O)=O, Inorganic
Molecule_1730,1730,[H+].[H+].[F-].[F-].[F-].[F-].[F-].[F-].[Zr+4], Inorganic
Molecule_1732,1732,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-].[OH-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].O=[W+3].O=[W+4].O=[W+4].O=[W+4].O=[W+4].O=[W+4].O=[W+4].O=[W+4].O=[W+4].O=[W+4].O=[W+4].O=[W+4], Inorganic
Molecule_1743,1743,[Zn+2].[O-][Sn]([O-])=O, Inorganic
Molecule_1755,1755,[Li+].[Li+].[Li+].[O-]P([O-])([O-])=O, Inorganic
Molecule_1759,1759,ClCl, Inorganic
Molecule_1771,1771,O=[Hf]=O, Inorganic
Molecule_1789,1789,[Li] |^1:0|, Inorganic
Molecule_1807,1807,[Al+3].[O-]P([O-])(=O)OP([O-])(=O)OP(O)(O)=O, Inorganic
Molecule_1813,1813,[Zn], Inorganic
Molecule_1819,1819,[Mn+2].[O-]P(O)(O)=O.[O-]P(O)(O)=O, Inorganic
Molecule_1820,1820,O[As](O)(O)=O, Inorganic
