CASRN,SMILES
120-61-6,COC(=O)C1=CC=C(C=C1)C(=O)OC
111-88-6,CCCCCCCCS
130841-23-5,[O-][N+](=O)C1=CC(Cl)=C(OC(F)(F)C(F)C(F)(F)F)C=C1Cl
563-76-8,CC(Br)C(Br)=O
188416-20-8,Cl.CC(C1=C(F)C(Cl)=NC=N1)C(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
118-48-9,O=C1NC2=C(C=CC=C2)C(=O)O1
621-95-4,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1
105-75-9,CCCCOC(=O)\C=C\C(=O)OCCCC
60045-26-3,O=C(OCCCC1=CC=CC=C1)C1=CC=CC=C1
1638-86-4,CCOP(OCC)C1=CC=CC=C1
4273-92-1,COC1=CC(NC(=O)C2=C(O)C=C3C=CC=CC3=C2)=C(OC)C=C1Cl
162881-26-7,CC1=CC(C)=C(C(=O)P(=O)(C(=O)C2=C(C)C=C(C)C=C2C)C2=CC=CC=C2)C(C)=C1
42872-29-7,CC(C#N)C1=CC(=CC=C1)C(Cl)=O
614-45-9,CC(C)(C)OOC(=O)C1=CC=CC=C1
133-37-9,O[C@@H]([C@H](O)C(O)=O)C(O)=O
87-69-4,O[C@H]([C@@H](O)C(O)=O)C(O)=O
25899-50-7,CC\C=C/C#N
485-71-2,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=CC=C12
406679-89-8,CO[Si](C)(CN=C=O)OC
27104-30-9,Cl.NC([O-])=N.OC[P+](CO)(CO)CO
61007-89-4,[Mn+3].[O-]C1=CC=CC=C1\C=N\CCN(CC\N=C\C1=CC=CC=C1[O-])CC\N=C\C1=C([O-])C=CC=C1
1830-54-2,COC(=O)CC(=O)CC(=O)OC
633-03-4,OS([O-])(=O)=O.CCN(CC)C1=CC=C(C=C1)C(C1=CC=CC=C1)=C1C=CC(C=C1)=[N+](CC)CC
88-27-7,CN(C)CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
327-78-6,FC(F)(F)C1=C(Cl)C=CC(=C1)N=C=O
544-35-4,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC
16669-27-5,CCCCCCCCCCCCCCCCCCCCCCOC(=O)C(C)=C
18727-04-3,[Co++].OC(=O)CC(O)(CC([O-])=O)C([O-])=O
108-91-8,NC1CCCCC1
106-14-9,CCCCCCC(O)CCCCCCCCCCC(O)=O
76855-69-1,[H][C@](C)(O[Si](C)(C)C(C)(C)C)[C@]1([H])C(O)=N[C@]1([H])OC(C)=O
15571-48-9,[MgH2].CC(C)O.CC(C)O
66918-01-2,CC(CCC(COC(=O)CC(O)C(=O)OCC(CCC(C)CC(C)(C)C)C(C)CC(C)(C)C)C(C)CC(C)(C)C)CC(C)(C)C
98-88-4,ClC(=O)C1=CC=CC=C1
117-61-3,NC1=CC(=C(C=C1)C1=C(C=C(N)C=C1)S(O)(=O)=O)S(O)(=O)=O
1015689-48-1,COC1=C(OC(=O)C2=CC=C(OC(=O)C=C)C=C2)C=CC(=C1)C(=O)O[C@@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)C1=CC(OC)=C(OC(=O)C2=CC=C(OC(=O)C=C)C=C2)C=C1
4454-16-4,[Ni++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
470-82-6,CC12CCC(CC1)C(C)(C)O2
2414-98-4,[Mg++].CC[O-].CC[O-]
817203-48-8,COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S([O-])(=O)=O.ClC1=CC=C(C=C1)[S+](C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
112-24-3,NCCNCCNCCN
84-65-1,O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2
24085-06-1,CC(=O)OCC1=C(OC(C)=O)C=CC(=C1)C(C)=O
1445870-18-7,CC(CC(=O)OCCN1C(C)(C)CC(CC1(C)C)OC(=O)CC(C)CC(C)(C)C)CC(C)(C)C
214417-91-1,CC(C)CC(C)=NNC(=O)C1=CC2=CC=CC=C2C=C1O
55314-16-4,CN(C)C=CC(=O)C1=CC=CN=C1
96-45-7,S=C1NCCN1
140-88-5,CCOC(=O)C=C
6283-86-9,CCCCC(CC)COC(=O)C(C)O
732-26-3,CC(C)(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
134-71-4,Cl.CN[C@H](C)[C@@H](O)C1=CC=CC=C1
145783-14-8,CCCSC1=NC(Cl)=C(C(Cl)=N1)[N+]([O-])=O
345-78-8,Cl.CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
91-30-5,NC1=CC(=C(NC2=CC=CC=C2)C=C1)S(O)(=O)=O
611-19-8,ClCC1=CC=CC=C1Cl
141914-99-0,CC1=CC=C(C=C1)S([O-])(=O)=O.CC1=[N+](C)C2=C(C3=C(C=CC=C3)C=C2)C1(C)C
56641-05-5,"C=CC(=O)OCCOC1=CC=CC=C1 |c:10,12,t:8,lp:3:2,4:2,7:2,Sg:n:6,5,4::ht|"
45294-18-6,CCCCCCCCCCCCCCCCCCCCOC(=O)C(C)=C
697235-49-7,OC(=O)C1=CC=CC=C1NC(=O)CCC1=CC=C(O)C=C1
27247-96-7,CCCCC(CC)CO[N+]([O-])=O
13676-54-5,O=C1C=CC(=O)N1C1=CC=C(CC2=CC=C(C=C2)N2C(=O)C=CC2=O)C=C1
122-60-1,C(OC1=CC=CC=C1)C1CO1
104-83-6,ClCC1=CC=C(Cl)C=C1
58834-75-6,O=[V]1OP2(=O)O[V](=O)OP(=O)(O1)O2
111850-24-9,CCC(C)C1=CC(=CC(C(C)CC)=C1O)N=NC1=CC=C(C=C1)[N+]([O-])=O
67874-37-7,CC(C)CCCCCCCCCCOP(OCCCCCCCCCCC(C)C)OC1=CC=CC=C1
2986-54-1,COC1CCCCCCCCCCC1
91-08-7,CC1=C(C=CC=C1N=C=O)N=C=O
1745-89-7,CC(C)(C1=CC(CC=C)=C(O)C=C1)C1=CC=C(O)C(CC=C)=C1
19372-44-2,[Ca++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O
66422-95-5,Cl.Cl.NC1=CC(N)=C(OCCO)C=C1
1671-49-4,CC1=C(C=C(C=C1)S(C)(=O)=O)[N+]([O-])=O
106990-43-6,CCCCN(C1CC(C)(C)N(C)C(C)(C)C1)C1=NC(=NC(NCCCN(CCN(CCCNC2=NC(=NC(=N2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)C2=NC(=NC(=N2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)C2=NC(=NC(=N2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)N(CCCC)C2CC(C)(C)N(C)C(C)(C)C2)=N1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1
12392-64-2,[H+].[Na+].[Na+].[Cr+3].[O-]C1=C(N=NC2=C([O-])C=C(C3=C2C=CC=C3)S([O-])(=O)=O)C2=C(C=CC=C2)C=C1.[O-]C1=C(N=NC2=C([O-])C=C(C3=C2C=CC=C3)S([O-])(=O)=O)C2=C(C=CC=C2)C=C1
51548-48-2,"N*.OS(=O)(=O)C1=CC=C2C=CC=CC2=C1 |c:9,11,14,t:5,7,lp:0:1,2:2,4:2,5:2,m:1:10.13|"
97-90-5,CC(=C)C(=O)OCCOC(=O)C(C)=C
108-31-6,O=C1OC(=O)C=C1
924-42-5,OCNC(=O)C=C
868-14-4,[K+].O[C@H]([C@@H](O)C([O-])=O)C(O)=O
55-56-1,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
51575-61-2,C\C(C=O)=C/C1OCC(C)(C)CO1
20570-96-1,Cl.Cl.NNCC1=CC=CC=C1
1447712-18-6,CCCC1CC=C(C)C(=O)C1
1071-93-8,NNC(=O)CCCCC(=O)NN
119851-28-4,CC(=O)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1
127929-37-7,CCN1CCN(CCC(=O)OCC(CC)(COC(=O)CCN2CCN(CC)CC2)COC(=O)CCN2CCN(CC)CC2)CC1
39903-01-0,NC1=C(O)C=C(Br)C=N1
1231728-34-9,[Sn++].CC(CC([O-])=O)CC(C)(C)C.CC(CC([O-])=O)CC(C)(C)C
3855-32-1,CN(C)CCCN(C)CCCN(C)C
4501-58-0,CC1=CC[C@H](CC=O)C1(C)C
106-47-8,NC1=CC=C(Cl)C=C1
105-55-5,CCNC(=S)NCC
