CASRN,Canonical_QSARr
96383-55-0,C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
599-64-4,CC(C)(C1C=CC=CC=1)C1C=CC(O)=CC=1
1432505-97-9,CC1C=CC(=CC=1)S(=O)(=O)OC1=CC=CC=C1C(=O)OC
5945-33-5,CC(C)(C1C=CC(=CC=1)OP(=O)(OC1C=CC=CC=1)OC1C=CC=CC=1)C1C=CC(=CC=1)OP(=O)(OC1C=CC=CC=1)OC1C=CC=CC=1
383-63-1,CCOC(=O)C(F)(F)F
2786-76-7,CCOC1C=CC=CC=1NC(=O)C1=CC2C=CC=CC=2C(N=NC2C=CC(=CC=2)C(N)=O)=C1O
175357-18-3,C=CCCCCCCCCC(=O)NC(CC1C=CC=CC=1)C(O)=O
142-17-6,CCCCCCCCC=CCCCCCCCC(O)=O
78-87-5,CC(Cl)CCl
83161-22-2,CC1OC(OCCCCC)C(O)C(O)C1O
13052-09-0,CC(C)(CCC(C)(C)OOC(=O)C(CCCC)CC)OOC(=O)C(CCCC)CC
27955-94-8,CC(C1C=CC(O)=CC=1)(C1C=CC(O)=CC=1)C1C=CC(O)=CC=1
76918-62-2,OC1=CC2=CC=CC=C2C=C1C(O)=NC1=CC2NC(O)=NC=2C=C1
120-61-6,COC(=O)C1C=CC(=CC=1)C(=O)OC
1455-42-1,CC(C)(CO)C1OCC2(CO1)COC(OC2)C(C)(C)CO
38668-48-3,CC1C=CC(=CC=1)N(CC(C)O)CC(C)O
111-88-6,CCCCCCCCS
93-68-5,CC(=O)CC(=O)NC1C=CC=CC=1C
70321-85-6,CC(=O)CC(=O)NC1C=CC(=CC=1)S(O)(=O)=O
84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
6022-22-6,NC1C2=C(C(=CC=1S(O)(=O)=O)C1C=C(C(N)=C3C=1C(=O)C1C=CC=CC=1C3=O)S(O)(=O)=O)C(=O)C1C=CC=CC=1C2=O
103-83-3,CN(C)CC1C=CC=CC=1
621-95-4,NC1C=CC(CCC2C=CC(N)=CC=2)=CC=1
105-58-8,CCOC(=O)OCC
24088-77-5,CC1=CC2OC(=O)NC(=O)C=2C=C1
129332-29-2,CC(C)N1C2C=CC=CC=2C(=C1C=CC(O)CC(O)CC(=O)OC(C)(C)C)C1=CC=C(F)C=C1
646-06-0,C1OCCO1
15217-42-2,C1=CC=CC2=NNN=C21
3598-16-1,OC(=O)COC1C=CC=CC=1
10305-41-6,OC(COC1CCCCC1)CO
40573-09-9,FC(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F
25307-17-9,CCCCCCCCC=CCCCCCCCCN(CCO)CCO
15875-13-5,CN(C)CCCN1CN(CN(C1)CCCN(C)C)CCCN(C)C
97-52-9,COC1=CC(=CC=C1N)[N+]([O-])=O
141-79-7,CC(C)=CC(C)=O
98-53-3,CC(C)(C)C1CCC(=O)CC1
91-96-3,CC1C=C(C=CC=1NC(=O)CC(C)=O)C1C=C(C)C(=CC=1)NC(=O)CC(C)=O
1119-40-0,COC(=O)CCCC(=O)OC
110-03-2,CC(C)(O)CCC(C)(C)O
108-55-4,O=C1CCCC(=O)O1
527-60-6,CC1C=C(C)C=C(C)C=1O
361366-15-6,CCOC(=O)C1(CCCC1)OC(=O)CC1C(C)=CC(C)=CC=1C
4314-14-1,CC1=NN(C(=O)C1N=NC1C=CC=CC=1)C1C=CC=CC=1
375-72-4,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
110-01-0,C1CCCS1
26591-72-0,C[N+]1=CN(C=C)C=C1
38172-91-7,C#CCO
61007-89-4,OC1C=CC=CC=1C=NCCN(CCN=CC1C=CC=CC=1O)CCN=CC1C=CC=CC=1O
126-53-4,CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC
88-12-0,C=CN1CCCC1=O
192389-48-3,CCOC(=O)CC(NCCC[Si](OC)(OC)OC)C(=O)OCC
112-84-5,CCCCCCCCC=CCCCCCCCCCCCC(N)=O
16669-27-5,CC(=C)C(=O)OCCCCCCCCCCCCCCCCCCCCCC
1388152-30-4,C[Si](C)(C1CC=C(CO)C1C(=O)OC(O)(C(N)CO)C1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1
1187-74-2,CC(=O)CC(CC(=O)OCC)C(=O)OCC
54549-24-5,CCCCCCOC1OC(CO)C(O)C(O)C1O
7365-45-9,OCCN1CCN(CCS(O)(=O)=O)CC1
1356964-77-6,CN(C)C(=O)CCCCCCCC=C
27311-52-0,NC1=CC(CC2C=C(N)C=CC=2O)=C(O)C=C1
106-14-9,CCCCCCC(O)CCCCCCCCCCC(O)=O
1638534-24-3,CC(NC1CCC2NC3C=CC=CC=3C=2C1)C1C=CC=CC=1
462-06-6,FC1C=CC=CC=1
125109-85-5,CC(C)C1=CC(=CC=C1)C(C)CC=O
534-16-7,OC(O)=O
15571-48-9,CC(C)O
17913-76-7,CC(O)(CC(C)C)CCC(C)(O)CC(C)C
2605-78-9,CCCCCCCC[N+](C)(C)[O-]
80584-91-4,OC(=O)CCCCCNC1N=C(NCCCCCC(O)=O)N=C(NCCCCCC(O)=O)N=1
109-78-4,N#CCCO
1797437-47-8,COC1C=CC(Cl)=CC=1P(C1C=C(Cl)C=CC=1OC)C1C=C(Cl)C=CC=1OC
2138848-94-7,CC1C(N=NC2=CC(=C(C=C2)N=NC2C=C(OCCO)C(=CC=2OCCO)N=NC2C(=CC3C=C(C=C(O)C=3C=2O)S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O)C(=O)N(CC)C(=O)C=1C(N)=O
61444-38-0,CCC=CCC(=O)OCCC=CCC
103335-54-2,CC12CCC3C(CCC4=NC(=O)CCC43C)C1CCC2C(O)=O
2540-99-0,O=S(=O)(C1=CC2=C(C=C1)C(=O)OC2=O)C1=CC2=C(C=C1)C(=O)OC2=O
2414-98-4,CCO
73037-34-0,CC1C=CC=C(C=1OC1C(=CC=CC=1C)S(O)(=O)=O)S(O)(=O)=O
7450-69-3,NP(N)(=O)OC1C=CC=CC=1
61320-65-8,CC1C(C#N)=C(N)SC=1C(=O)OC
84238-45-9,CCCCCCCCCCCCC1=CC=C(C=C1)S(O)(=O)=O
13423-15-9,CC1COCC1
1445870-18-7,CC(CC(C)(C)C)CC(=O)OCCN1C(C)(C)CC(CC1(C)C)OC(=O)CC(C)CC(C)(C)C
371756-75-1,CC(O)CN(CC(C)O)C1N=C(NC2C=C(C(C=CC3C=CC(=CC=3S(O)(=O)=O)NC3=NC(=NC(NC4C=C(C=CC=4S(O)(=O)=O)S(O)(=O)=O)=N3)N(CC(C)O)CC(C)O)=CC=2)S(O)(=O)=O)N=C(NC2C=C(C=CC=2S(O)(=O)=O)S(O)(=O)=O)N=1
26184-62-3,CCCC(C)O
2941-20-0,CCC(N)C1C=CC=CC=1
101-14-4,NC1C=CC(CC2=CC(Cl)=C(N)C=C2)=CC=1Cl
88949-33-1,O=C1N=C(C2C1=C(NC2=O)C1C=CC(=CC=1)C1C=CC=CC=1)C1C=CC(=CC=1)C1C=CC=CC=1
85-41-6,O=C1NC(=O)C2C=CC=CC1=2
36968-27-1,COC1C=CC=CC=1NC(=O)C1C=C2C=CC=CC2=C(N=NC2C=CC(=CC=2)C(N)=O)C=1O
42233-75-0,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC
717-74-8,CC(C)C1C=C(C=C(C=1)C(C)C)C(C)C
120202-68-8,OC(=O)C(C1=CC=CC=C1Cl)N1CC2C=CSC=2CC1
1352319-02-8,OC(=O)C1=CC(CN2N=C(N=N2)C(F)(F)F)=NN1C1=NC=CC=C1Cl
4151-51-3,O=C=NC1C=CC(=CC=1)OP(=S)(OC1C=CC(=CC=1)N=C=O)OC1C=CC(=CC=1)N=C=O
4488-57-7,C1C=CC2C1C1CC2CC1
45294-18-6,CC(=C)C(=O)OCCCCCCCCCCCCCCCCCCCC
5187-23-5,CCC1(CO)COCOC1
152628-02-9,CC1=CC(=CC2NC(CCC)=NC1=2)C1=NC2=CC=CC=C2N1C
74-93-1,CS
599-61-1,NC1C=C(C=CC=1)S(=O)(=O)C1=CC(N)=CC=C1
697235-49-7,OC(=O)C1=CC=CC=C1NC(=O)CCC1C=CC(O)=CC=1
