CASRN,Canonical_QSARr
327-78-6,O=C=NC1=CC(=C(Cl)C=C1)C(F)(F)F
544-35-4,CCCCCC=CCC=CCCCCCCCC(=O)OCC
16669-27-5,CC(=C)C(=O)OCCCCCCCCCCCCCCCCCCCCCC
18727-04-3,OC(=O)C(O)(CC(O)=O)CC(O)=O
108-91-8,NC1CCCCC1
106-14-9,CCCCCCC(O)CCCCCCCCCCC(O)=O
76855-69-1,CC(=O)OC1N=C(O)C1C(C)O[Si](C)(C)C(C)(C)C
15571-48-9,CC(C)O
66918-01-2,CC(CC(C)(C)C)C(COC(=O)C(O)CC(=O)OCC(CCC(C)CC(C)(C)C)C(C)CC(C)(C)C)CCC(C)CC(C)(C)C
98-88-4,O=C(Cl)C1C=CC=CC=1
117-61-3,NC1=CC(=C(C=C1)C1C=CC(N)=CC=1S(O)(=O)=O)S(O)(=O)=O
1015689-48-1,COC1C=C(C=CC=1OC(=O)C1C=CC(=CC=1)OC(=O)C=C)C(=O)OC1COC2C1OCC2OC(=O)C1=CC(OC)=C(C=C1)OC(=O)C1C=CC(=CC=1)OC(=O)C=C
4454-16-4,CCCCC(CC)C(O)=O
470-82-6,CC1(C)OC2(C)CCC1CC2
2414-98-4,CCO
112-24-3,NCCNCCNCCN
84-65-1,O=C1C2C=CC=CC=2C(=O)C2C=CC=CC1=2
24085-06-1,CC(=O)OC1C=CC(=CC=1COC(C)=O)C(C)=O
1445870-18-7,CC(CC(C)(C)C)CC(=O)OCCN1C(C)(C)CC(CC1(C)C)OC(=O)CC(C)CC(C)(C)C
214417-91-1,CC(C)CC(C)N=NC(=O)C1=CC2C=CC=CC=2C=C1O
55314-16-4,CN(C)C=CC(=O)C1C=NC=CC=1
96-45-7,S=C1NCCN1
140-88-5,CCOC(=O)C=C
6283-86-9,CC(O)C(=O)OCC(CCCC)CC
732-26-3,CC(C)(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
134-71-4,CC(NC)C(O)C1C=CC=CC=1
145783-14-8,CCCSC1=NC(Cl)=C(C(Cl)=N1)[N+]([O-])=O
91-30-5,NC1=CC(=C(C=C1)NC1C=CC=CC=1)S(O)(=O)=O
611-19-8,ClC1=CC=CC=C1CCl
141914-99-0,CC1=[N+](C)C2C=CC3C=CC=CC=3C=2C1(C)C
45294-18-6,CC(=C)C(=O)OCCCCCCCCCCCCCCCCCCCC
697235-49-7,OC(=O)C1=CC=CC=C1NC(=O)CCC1C=CC(O)=CC=1
27247-96-7,CCCCC(CO[N+]([O-])=O)CC
13676-54-5,O=C1C=CC(=O)N1C1C=CC(CC2C=CC(=CC=2)N2C(=O)C=CC2=O)=CC=1
122-60-1,C(OC1C=CC=CC=1)C1CO1
104-83-6,ClC1C=CC(CCl)=CC=1
111850-24-9,CC(CC)C1=CC(=CC(C(C)CC)=C1O)N=NC1C=CC(=CC=1)[N+]([O-])=O
67874-37-7,CC(C)CCCCCCCCCCOP(OC1C=CC=CC=1)OCCCCCCCCCCC(C)C
2986-54-1,COC1CCCCCCCCCCC1
91-08-7,CC1C(=CC=CC=1N=C=O)N=C=O
1745-89-7,CC(C)(C1=CC(CC=C)=C(O)C=C1)C1C=C(CC=C)C(O)=CC=1
19372-44-2,CC(=O)CC(C)=O
66422-95-5,NC1=CC(N)=C(C=C1)OCCO
1671-49-4,CC1C=CC(=CC=1[N+]([O-])=O)S(C)(=O)=O
12392-64-2,OS(=O)(=O)C1=CC(O)=C(N=NC2C3C=CC=CC=3C=CC=2O)C2C=CC=CC=21
51548-48-2,OS(=O)(=O)C1C=C2C=CC=CC2=CC=1
97-90-5,CC(=C)C(=O)OCCOC(=O)C(C)=C
108-31-6,O=C1C=CC(=O)O1
924-42-5,C=CC(=O)NCO
55-56-1,N=C(NC(=N)NCCCCCCNC(=N)NC(=N)NC1C=CC(Cl)=CC=1)NC1C=CC(Cl)=CC=1
51575-61-2,CC(C=O)=CC1OCC(C)(C)CO1
20570-96-1,NNCC1C=CC=CC=1
1447712-18-6,CC1=CCC(CCC)CC1=O
1071-93-8,NNC(=O)CCCCC(=O)NN
119851-28-4,CC(=O)C1C=CC(=CC=1Cl)OC1C=CC(Cl)=CC=1
127929-37-7,CCC(COC(=O)CCN1CCN(CC1)CC)(COC(=O)CCN1CCN(CC1)CC)COC(=O)CCN1CCN(CC1)CC
39903-01-0,NC1N=CC(Br)=CC=1O
1231728-34-9,CC(CC(O)=O)CC(C)(C)C
3855-32-1,CN(CCCN(C)C)CCCN(C)C
4501-58-0,CC1=CCC(CC=O)C1(C)C
106-47-8,NC1=CC=C(Cl)C=C1
105-55-5,CCNC(=S)NCC
932742-30-8,CC1(C)CC(CC(C)(C1)CN=CC(C)(C)COC(=O)CCCCCCCCCCC)N=CC(C)(C)COC(=O)CCCCCCCCCCC
64-67-5,CCOS(=O)(=O)OCC
67881-98-5,CC(=C)C(=O)OCCOP([O-])(=O)OCC[N+](C)(C)C
697-73-4,FC1C=CC=C(F)C=1CCl
70280-68-1,C[Si](CCCOCC(O)CO)(O[Si](C)(C)C)O[Si](C)(C)C
25564-22-1,CCCCCC1=CCCC1=O
923-02-4,CC(=C)C(=O)NCO
1378867-81-2,CC(C)C1CC=C(CC1)CCC=O
122-62-3,CCCCC(COC(=O)CCCCCCCCC(=O)OCC(CCCC)CC)CC
873888-84-7,CCC=CCC(C)OC(=O)C1C=CC=CC=1O
118-79-6,OC1C(Br)=CC(Br)=CC=1Br
111-36-4,CCCCN=C=O
376608-71-8,NC1CC1C1C=CC(F)=C(F)C=1
91273-04-0,CCCCC(CN(CN1C=NC=N1)CC(CCCC)CC)CC
56-54-2,COC1C=CC2=NC=CC(C(O)C3CC4CCN3CC4C=C)=C2C=1
123-05-7,CCCCC(CC)C=O
14073-97-3,CC(C)C1CCC(C)CC1=O
17831-71-9,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
78-98-8,CC(=O)C=O
126877-05-2,CCOCCOC(=O)COC1C=CC(=CC=1)C1=C2C=C3OC(=O)C(=C3C=C2OC1=O)C1C=CC=CC=1
1354632-48-6,CC(=O)NC1C=C(N)C(=CC=1N=NC1C=C(C=CC=1)S(=O)(=O)CCOS(O)(=O)=O)S(O)(=O)=O
62756-44-9,OCC1=CN=CC=C1
3115-49-9,CCCCCCCCCC1C=CC(=CC=1)OCC(O)=O
105-67-9,CC1=CC(C)=C(O)C=C1
167374-38-1,CC1C=C(OCC2=CC=CC=C2C(=NOC)C(=O)OC)C(C)=CC=1
166410-06-6,CN(C)C=C1C(C(=O)OC(C)(C)C)N(CC1=O)C(=O)OC(C)(C)C
3468-63-1,[O-][N+](=O)C1=CC(=C(C=C1)N=NC1=C(O)C=CC2=CC=CC=C21)[N+]([O-])=O
72496-88-9,CC(=O)C(N=NC1C=C(C=CC=1O)S(N)(=O)=O)C(=O)NC1C=CC=CC=1
92-78-4,OC1C=C2C=CC=CC2=CC=1C(=O)NC1C=CC(Cl)=CC=1
111-40-0,NCCNCCN
2439-35-2,CN(C)CCOC(=O)C=C
23328-71-4,CCCCCCCCCCCCCCCCCCOCCC[N+](C)(C)C
437717-43-6,CC1N=C(CCC)N2NC(=NC(=O)C2=1)C1C=C(C=CC=1OCC)S(O)(=O)=O
73611-02-6,CC1(C)C2C(O)OC(=O)C12
127-68-4,[O-][N+](=O)C1C=C(C=CC=1)S(O)(=O)=O
98-47-5,[O-][N+](=O)C1=CC(=CC=C1)S(O)(=O)=O
941-69-5,O=C1C=CC(=O)N1C1C=CC=CC=1
78605-96-6,CCCCCC(C=O)=CC1C=CC=CC=1
19780-11-1,CCCCCCCCCC=CCC1CC(=O)OC1=O
67014-36-2,CC1=CC2N=C(O)NC=2C=C1N
131766-73-9,CCCC1CC(C)(CCO1)OC(C)=O
914917-99-0,C=CC(=O)OCCCCOC(=O)OC1C=C2C=CC(=CC2=CC=1)C(O)=O
119-84-6,O=C1CCC2C=CC=CC=2O1
826-55-1,CC(C)(C(O)=O)C1C=CC=CC=1
898566-17-1,CC1C=CC(I)=CC=1CC1=CC=C(S1)C1C=CC(F)=CC=1
79-08-3,OC(=O)CBr
123989-31-1,CC(C=C)C(O)C1=CC=C(Cl)C=C1
877399-00-3,CC(OC1C=C(Br)C=NC=1N)C1C(Cl)=C(F)C=CC=1Cl
130-26-7,OC1C(I)=CC(Cl)=C2C=CC=NC2=1
26159-31-9,COC1=CC2=CC=C(C=C2C=C1)C(C)C(O)=O
957787-76-7,CC(C)(C)C(C)NCCCCCCNC(C)C(C)(C)C
821-06-7,BrCC=CCBr
75-08-1,CCS
860035-10-5,CC(C)C(=O)OC(C)OC(=O)ON1C(=O)CCC1=O
28016-00-4,CCCCCCCCCC1=C(C2C=CC=CC=2C=C1CCCCCCCCC)S(O)(=O)=O
161596-47-0,O=C1C2=CC=CC=C2C(=O)N1CC1CO1
68391-30-0,COC1=CC=CC=C1N=NC1=C(O)C=CC2=CC=C(C=C21)[N+](C)(C)C
5343-44-2,CCCCCCCCCCCC(=O)N(CCCC)CCCC
95-76-1,NC1=CC(Cl)=C(Cl)C=C1
111-78-4,C1CC=CCCC=C1
26381-41-9,C[N+](C)(C)C1C=C2C(N=NC3C=CC(N)=CC=3)=C(O)C=CC2=CC=1
19900-69-7,CC(C)C1C=C(CC2=CC(C(C)C)=C(N)C(=C2)C(C)C)C=C(C(C)C)C=1N
1079221-49-0,NC1C(=NN2C=CC=CC2=1)OCCO
79992-76-0,CCC(CC)C(O)=O
134652-60-1,CC(=C)C(=O)O[Si](C(C)C)(C(C)C)C(C)C
65405-77-8,CCC=CCCOC(=O)C1C=CC=CC=1O
34893-92-0,O=C=NC1C=C(Cl)C=C(Cl)C=1
16142-27-1,NC1=C[N+](=NO1)N1CCOCC1
99305-42-7,CCCCOC(=O)NC1CCC(CC2CCC(CC2)NC(=O)OCCCC)CC1
122-39-4,C1=CC=CC=C1NC1C=CC=CC=1
2156-97-0,CCCCCCCCCCCCOC(=O)C=C
895525-72-1,CC(=O)OCNC(=O)C1C=CC=CC=1C(F)(F)F
52671-72-4,OC(=O)C1=CC=C2C3C1=C(C=CC=3C(=O)OC2=O)C(O)=O
2235-00-9,C=CN1CCCCCC1=O
59-50-7,CC1C=C(O)C=CC=1Cl
77745-66-5,CC(C)CCCCCCCCCCOP(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C
100-69-6,C=CC1C=CC=CN=1
54381-16-7,NC1=CC=C(C=C1)N(CCO)CCO
183476-82-6,CCCCCCCCC(CCCCCC)C(=O)OCC(OC(=O)C(CCCCCC)CCCCCCCC)C1OC(=O)C(OC(=O)C(CCCCCCCC)CCCCCC)=C1OC(=O)C(CCCCCC)CCCCCCCC
106-75-2,O=C(Cl)OCCOCCOC(=O)Cl
95-88-5,OC1C=C(O)C(Cl)=CC=1
99591-74-9,O=S1(=O)CS(=O)(=O)OCO1
95-71-6,CC1C=C(O)C=CC=1O
27115-36-2,OC=O
616-02-4,CC1=CC(=O)OC1=O
94-91-7,CC(CN=CC1=CC=CC=C1O)N=CC1=CC=CC=C1O
365411-50-3,CC1C(C)(C)C2CCC3COCOC3C=2C1(C)C
433733-94-9,CC(=O)OC1CC(OC1COC(C)=O)N1C=C(C)C(=O)NC1=O
63948-88-9,OC(=O)C1=CC2=C(C=C1)C(=O)OC2=O
42252-34-6,CCN(C)C(=O)Cl
3621-82-7,ClC1=CC2OC(Cl)=NC=2C=C1
26116-57-4,COC1(C)CC(OC(C)C1O)OC1C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=NO)C(C)C(O)C(C)(O)C(CC)OC(=O)C1C
617-52-7,COC(=O)CC(=C)C(=O)OC
1497420-94-6,CCCCCCOC1CCC(C)(C)O1
1742-95-6,NC1=CC=C2C3C1=CC=CC=3C(=O)NC2=O
3845-76-9,CN(C)CCCNC(=O)C=C
109-83-1,CNCCO
99-63-8,O=C(Cl)C1C=C(C=CC=1)C(=O)Cl
352232-17-8,ClCCC1C=CC=C2C(=NC3=CC=CC=C3SC2=1)N1CCNCC1
50940-49-3,C=CC(=O)OCCOC(=O)CCC(O)=O
79-07-2,NC(=O)CCl
1189-08-8,CC(=C)C(=O)OCCC(C)OC(=O)C(C)=C
35836-72-7,CC(=O)OCCC1=CCC2CC1C2(C)C
1114343-55-3,CC1=C(Cl)C=CN(=O)=C1CSC1NC2=CC=CC=C2N=1
119-80-2,OC(=O)C1C=CC=CC=1SSC1C=CC=CC=1C(O)=O
123-30-8,NC1=CC=C(O)C=C1
16219-75-3,CC=C1CC2CC1C=C2
105-39-5,CCOC(=O)CCl
133-14-2,O=C(OOC(=O)C1C=CC(Cl)=CC=1Cl)C1C=CC(Cl)=CC=1Cl
1333481-90-5,OC1CC(CCN2C(=O)C3=CC=CC=C3C2=O)OC(O)C1
7237-83-4,O=C(OCC1CO1)C1=CC=C(C=C1C(=O)OCC1CO1)C(=O)OCC1CO1
92-69-3,OC1C=CC(=CC=1)C1C=CC=CC=1
131860-97-4,COC(=O)C(=COC)C1=CC=CC=C1OC1=CC(Cl)=NC=N1
1003859-14-0,FC(F)CNCC1C=NC(Cl)=CC=1
28861-00-9,CC(CC1=CC(OC)=C(C=C1)OC)(NC(N)=O)C(O)=O
118-10-5,C=CC1CN2CCC1CC2C(O)C1=CC=NC2C=CC=CC1=2
939-97-9,CC(C)(C)C1C=CC(C=O)=CC=1
295800-70-3,CCCCC(CNC1C=CC(NCC(CCCC)CC)=C2C=1C(=O)C1C(C2=O)=C(O)C=CC=1O)CC
1087-21-4,C=CCOC(=O)C1=CC(=CC=C1)C(=O)OCC=C
6994-25-8,CCOC(=O)C1CN=NC1=N
1134-23-2,CCN(C1CCCCC1)C(=O)SCC
67584-59-2,CC(=C)C(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
49744-28-7,COC1=CC(=C(C=C1)N=NC1C(O)=CC=C2C=CC=CC2=1)[N+]([O-])=O
68584-22-5,CCCCCCCCCC
3140-73-6,COC1N=C(Cl)N=C(N=1)OC
26747-90-0,O=C1N(C2C=C(CN=C=O)C=CC=2)C(=O)N1C1C=C(CN=C=O)C=CC=1
114772-54-2,N#CC1=CC=CC=C1C1C=CC(CBr)=CC=1
2495-27-4,CC(=C)C(=O)OCCCCCCCCCCCCCCCC
16111-62-9,CCCCC(COC(=O)OOC(=O)OCC(CCCC)CC)CC
24487-91-0,CC1C(=CC=CC=1C(=O)Cl)OC
51997-51-4,C(OC1=CC=CC2NC3C=CC=CC=3C=21)C1CO1
140-90-9,CCOC(S)=S
103-26-4,COC(=O)C=CC1C=CC=CC=1
1217271-49-2,CC(C)(CN1CCOCC1)C=NCCCCCCN=CC(C)(C)CN1CCOCC1
114772-38-2,COC(=O)C1=CC=CC=C1C1C=CC(CBr)=CC=1
14543-49-8,COCC=CCCCC=C
2835-95-2,CC1C=CC(N)=CC=1O
24748-23-0,CC1(CC)OOC(C)(CC)OOC(C)(CC)OO1
3033-77-0,C[N+](C)(C)CC1CO1
34206-40-1,CC(CC)=NO[Si](ON=C(C)CC)(ON=C(C)CC)ON=C(C)CC
17514-68-0,CC1=CSC2C(Cl)=CC=CC=21
830-03-5,CC(=O)OC1C=CC(=CC=1)[N+]([O-])=O
