Substance Name,Name type,Number,Number type,Member of Category,Substance Link,Participant,Participant Link,Section,Endpoint Link,Values,
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=d06b04ce-d0fe-4792-8d9a-b0c2c69ff1a8,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=e1f3a5cd-b1fc-4f3b-8059-cdf526cefbd7,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=a33cb0b1-8b51-4997-9d8a-1c7a6393b7b5,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=b21a7556-97f3-41f7-be9d-0868d0bcd752,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=874d00d1-d70c-4afe-a975-fdbbfa504f3f,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=ac29c6f0-38a8-4013-a357-b459ca221486,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=581e8854-fdb6-417d-8a26-5302cbab6876,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=c66d3191-106b-4b0c-959b-cfe71054c78e,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=2689733b-be32-4c5d-9c0a-ef9d173ee167,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
"Hydrocarbons, C6-11, hydrotreated, dearomatized",IUPAC Name,93763-33-8,CAS Number,true,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560//?documentUUID=bfa23c2d-2fa7-433b-a18c-315fa1ba451c,ECHA REACH,https://echa.europa.eu/information-on-chemicals/registered-substances,Eye irritation,https://echa.europa.eu/registration-dossier/-/registered-dossier/11560/7/4/3/?documentUUID=afad2e87-2e19-40c5-9aed-fd06ffa8b890,"Reliability:1 (reliable without restriction)   Interpretation of results:not irritating Migrated informationCriteria used for interpretation of results: EU   "
