CASRN,Canonical_QSARr
3327-22-8,C[N+](C)(C)CC(O)CCl
152460-07-6,CC1C=CC(=CC=1O[N+]([O-])=O)[N+]([O-])=O
100-94-7,C[N+](C)(CC1C=CC=CC=1)CC1C=CC=CC=1
89-72-5,CCC(C)C1C=CC=CC=1O
94695-52-0,OC(=O)C1=CN(C2CC2)C2C(=CC(F)=C(F)C=2F)C1=O
1143-72-2,OC1=CC=C(C(=O)C2C=CC=CC=2)C(O)=C1O
538-75-0,C1CCCCC1N=C=NC1CCCCC1
696-99-1,NCC1C=CC=CC=1
586-37-8,CC(=O)C1=CC(=CC=C1)OC
69847-45-6,NC(CC1=CC=C(O)C=C1)C(O)=O
77214-82-5,CC1=CC=C(C=C1)S(O)(=O)=O
443688-20-8,NC1C=CC2C=C(C=C(O)C=2C=1N=NC1C=CC(=CC=1S(O)(=O)=O)NC1N=C(N=C(NC2C=C(C(=CC=2)N=NC2C3C(=CC(=CC=3O)S(O)(=O)=O)C=CC=2N)S(O)(=O)=O)N=1)N(CCO)CCO)S(O)(=O)=O
123-99-9,OC(=O)CCCCCCCC(O)=O
100-44-7,ClCC1C=CC=CC=1
3279-27-4,CC(C)(CC)C1=CC=CC=C1O
6375-46-8,CC(=O)NC1C=C(C=CC=1)N(CC)CC
926-63-6,CCCN(C)C
79-03-8,CCC(=O)Cl
19395-39-2,NC(=O)C(C1CCCCN1)C1C=CC=CC=1
7443-25-6,COC1C=CC(C=C(C(=O)OC)C(=O)OC)=CC=1
10097-02-6,CCC(CO)(CO)C(O)=O
97-53-0,COC1C=C(CC=C)C=CC=1O
102-86-3,CCCCCCN(CCCCCC)CCCCCC
109-02-4,CN1CCOCC1
31506-43-1,CN(C)CCCNC(N)=O
1934-75-4,N#CNC#N
18559-94-9,CC(C)(C)NCC(O)C1C=C(CO)C(O)=CC=1
110-17-8,OC(=O)C=CC(O)=O
141-43-5,NCCO
35674-68-1,CCCCCCC(O)CCCCCCCCCCC(O)=O
116313-85-0,[O-][N+](=O)C1C=C(C=C(O)C=1O)C=O
111-76-2,CCCCOCCO
187026-95-5,NC1=C(N=NC2C=CC(=CC=2)S(=O)(=O)CCOS(O)(=O)=O)C(N)=C(C=C1S(O)(=O)=O)N=NC1C=CC(=CC=1S(O)(=O)=O)S(=O)(=O)CCOS(O)(=O)=O
5397-31-9,CCCCC(COCCCN)CC
107-66-4,CCCCOP(O)(=O)OCCCC
18472-87-2,OC1=C(Br)C2OC3C(=CC(Br)=C(O)C=3Br)C3(OC(=O)C4C3=C(Cl)C(Cl)=C(Cl)C=4Cl)C=2C=C1Br
135266-72-7,CCC1(CC(C(=O)OCC)C(=O)OCC)CCCN2CCC3C4=CC=CC=C4NC=3C12
109-94-4,CCOC=O
14285-59-7,OS(=O)(=O)C1=CC2C3NC(=NC4=NC(=NC5NC(N=C6N=C(N=3)C3C=CC(=CC=36)S(O)(=O)=O)=C3C=CC(=CC3=5)S(O)(=O)=O)C3C=CC(=CC=34)S(O)(=O)=O)C=2C=C1
1119-86-4,CCCCCCCCC(O)CO
83-67-0,CN1C2N=CN(C)C=2C(=O)NC1=O
93-17-4,COC1C=CC(CC#N)=CC=1OC
